,title,movieId_ref
320,Underneath (1995),321.0
321,"Walking Dead, The (1995)",322.0
322,What's Eating Gilbert Grape (1993),323.0
323,Virtuosity (1995),324.0
324,While You Were Sleeping (1995),325.0
325,"War, The (1994)",326.0
326,Double Happiness (1994),327.0
327,Muriel's Wedding (1994),328.0
328,"Baby-Sitters Club, The (1995)",329.0
329,Ace Ventura: Pet Detective (1994),330.0
330,"Adventures of Priscilla, Queen of the Desert, The (1994)",331.0
331,Backbeat (1993),332.0
332,Bitter Moon (1992),333.0
333,Bullets Over Broadway (1994),334.0
334,Clear and Present Danger (1994),335.0
335,"Client, The (1994)",336.0
336,"Corrina, Corrina (1994)",337.0
337,Crooklyn (1994),338.0
338,"Crow, The (1994)",339.0
339,"Flintstones, The (1994)",340.0
340,Forrest Gump (1994),341.0
341,Four Weddings and a Funeral (1994),342.0
342,Higher Learning (1995),343.0
343,I Like It Like That (1994),344.0
344,I Love Trouble (1994),345.0
345,It Could Happen to You (1994),346.0
346,"Jungle Book, The (1994)",347.0
347,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",348.0
348,"Lion King, The (1994)",349.0
349,Little Buddha (1993),350.0
350,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",351.0
351,"Mask, The (1994)",352.0
352,Maverick (1994),353.0
353,Mrs. Parker and the Vicious Circle (1994),354.0
354,Naked Gun 33 1/3: The Final Insult (1994),355.0
355,"Paper, The (1994)",356.0
356,Reality Bites (1994),357.0
357,Red Rock West (1992),358.0
358,Richie Rich (1994),359.0
359,Safe Passage (1994),360.0
360,"River Wild, The (1994)",361.0
361,Speed (1994),362.0
362,Speechless (1994),363.0
363,Timecop (1994),364.0
364,True Lies (1994),365.0
365,When a Man Loves a Woman (1994),366.0
366,Wolf (1994),367.0
367,Wyatt Earp (1994),368.0
368,Bad Company (1995),369.0
369,"Man of No Importance, A (1994)",370.0
370,S.F.W. (1994),371.0
371,"Low Down Dirty Shame, A (1994)",372.0
372,Boys Life (1995),373.0
373,"Colonel Chabert, Le (1994)",374.0
374,Faster Pussycat! Kill! Kill! (1965),375.0
375,Jason's Lyric (1994),376.0
376,"Secret Adventures of Tom Thumb, The (1993)",377.0
377,Street Fighter (1994),378.0
378,Coldblooded (1995),379.0
379,Desert Winds (1995),380.0
380,Fall Time (1995),381.0
381,"Fear, The (1995)",382.0
382,Frank and Ollie (1995),383.0
383,Girl in the Cadillac (1995),384.0
384,Homage (1995),385.0
385,Mirage (1995),386.0
386,Open Season (1996),387.0
387,Two Crimes (Dos crímenes) (1995),388.0
388,Brother Minister: The Assassination of Malcolm X (1994),389.0
389,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),390.0
390,Federal Hill (1994),391.0
391,In the Mouth of Madness (1995),392.0
392,Addams Family Values (1993),393.0
393,Martin Lawrence: You So Crazy (1994),394.0
394,"Age of Innocence, The (1993)",395.0
395,Airheads (1994),396.0
396,Another Stakeout (1993),397.0
397,Bad Girls (1994),398.0
398,Barcelona (1994),399.0
399,Being Human (1993),400.0
400,"Beverly Hillbillies, The (1993)",401.0
401,Beverly Hills Cop III (1994),402.0
402,Black Beauty (1994),403.0
403,Blink (1994),404.0
404,Blown Away (1994),405.0
405,Blue Sky (1994),406.0
406,Body Snatchers (1993),407.0
407,Boxing Helena (1993),408.0
408,"Bronx Tale, A (1993)",409.0
409,Cabin Boy (1994),410.0
410,Calendar Girl (1993),411.0
411,Carlito's Way (1993),412.0
412,City Slickers II: The Legend of Curly's Gold (1994),413.0
413,Clean Slate (1994),414.0
414,Cliffhanger (1993),415.0
415,Coneheads (1993),416.0
416,Color of Night (1994),417.0
417,Cops and Robbersons (1994),418.0
418,"Cowboy Way, The (1994)",419.0
419,Dangerous Game (1993),420.0
420,Dave (1993),421.0
421,Dazed and Confused (1993),422.0
422,Demolition Man (1993),423.0
423,Even Cowgirls Get the Blues (1993),424.0
424,Fatal Instinct (1993),425.0
425,Farewell My Concubine (Ba wang bie ji) (1993),426.0
426,"Favor, The (1994)",427.0
427,Fearless (1993),428.0
428,Fear of a Black Hat (1994),429.0
429,With Honors (1994),430.0
430,Flesh and Bone (1993),431.0
431,Widows' Peak (1994),432.0
432,For Love or Money (1993),433.0
433,"Firm, The (1993)",434.0
434,Free Willy (1993),435.0
435,Fresh (1994),436.0
436,"Fugitive, The (1993)",437.0
437,Geronimo: An American Legend (1993),438.0
438,"Getaway, The (1994)",439.0
439,Getting Even with Dad (1994),440.0
440,Go Fish (1994),441.0
441,"Good Man in Africa, A (1994)",442.0
442,Guilty as Sin (1993),443.0
443,Hard Target (1993),444.0
444,Heaven & Earth (1993),445.0
445,Hot Shots! Part Deux (1993),446.0
446,Live Nude Girls (1995),447.0
447,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",448.0
448,"House of the Spirits, The (1993)",449.0
449,House Party 3 (1994),450.0
450,"Hudsucker Proxy, The (1994)",451.0
451,I'll Do Anything (1994),452.0
452,In the Army Now (1994),453.0
453,In the Line of Fire (1993),454.0
454,In the Name of the Father (1993),455.0
455,"Inkwell, The (1994)",456.0
456,What's Love Got to Do with It? (1993),457.0
457,Jimmy Hollywood (1994),458.0
458,Judgment Night (1993),459.0
459,Jurassic Park (1993),460.0
460,Kalifornia (1993),461.0
461,Killing Zoe (1994),462.0
462,King of the Hill (1993),463.0
463,Lassie (1994),464.0
464,Last Action Hero (1993),465.0
465,Life with Mikey (1993),466.0
466,Lightning Jack (1994),467.0
467,M. Butterfly (1993),468.0
468,Made in America (1993),469.0
469,Malice (1993),470.0
470,"Man Without a Face, The (1993)",471.0
471,Manhattan Murder Mystery (1993),472.0
472,Menace II Society (1993),473.0
473,Executive Decision (1996),474.0
474,In the Realm of the Senses (Ai no corrida) (1976),475.0
475,What Happened Was... (1994),476.0
476,Much Ado About Nothing (1993),477.0
477,Mr. Jones (1993),478.0
478,Mr. Wonderful (1993),479.0
479,Mrs. Doubtfire (1993),480.0
480,Naked (1993),481.0
481,"Next Karate Kid, The (1994)",482.0
482,"New Age, The (1994)",483.0
483,No Escape (1994),484.0
484,North (1994),485.0
485,Orlando (1992),486.0
486,"Perfect World, A (1993)",487.0
487,Philadelphia (1993),488.0
488,"Piano, The (1993)",489.0
489,Poetic Justice (1993),490.0
490,"Program, The (1993)",491.0
491,"Puppet Masters, The (1994)",492.0
492,Radioland Murders (1994),493.0
493,"Ref, The (1994)",494.0
494,"Remains of the Day, The (1993)",495.0
495,Renaissance Man (1994),496.0
496,Rising Sun (1993),497.0
497,"Road to Wellville, The (1994)",498.0
498,RoboCop 3 (1993),499.0
499,Robin Hood: Men in Tights (1993),500.0
500,Romeo Is Bleeding (1993),501.0
501,Romper Stomper (1992),502.0
502,Ruby in Paradise (1993),503.0
503,"Saint of Fort Washington, The (1993)",504.0
504,"Savage Nights (Nuits fauves, Les) (1992)",505.0
505,Schindler's List (1993),506.0
506,Searching for Bobby Fischer (1993),507.0
507,Second Best (1994),508.0
508,"Secret Garden, The (1993)",509.0
509,Serial Mom (1994),510.0
510,"Shadow, The (1994)",511.0
511,Shadowlands (1993),512.0
512,Short Cuts (1993),513.0
513,"Simple Twist of Fate, A (1994)",514.0
514,Sirens (1994),515.0
515,Six Degrees of Separation (1993),516.0
516,Sleepless in Seattle (1993),517.0
517,Sliver (1993),518.0
518,Blade Runner (1982),519.0
519,Son in Law (1993),520.0
520,So I Married an Axe Murderer (1993),521.0
521,Striking Distance (1993),522.0
522,Harem (1985),523.0
523,Super Mario Bros. (1993),524.0
524,Surviving the Game (1994),525.0
525,Terminal Velocity (1994),526.0
526,Thirty-Two Short Films About Glenn Gould (1993),527.0
527,Threesome (1994),528.0
528,"Nightmare Before Christmas, The (1993)",529.0
529,"Three Musketeers, The (1993)",530.0
530,Tombstone (1993),531.0
531,Trial by Jury (1994),532.0
532,True Romance (1993),533.0
533,"War Room, The (1993)",534.0
534,"Pagemaster, The (1994)",535.0
535,"Paris, France (1993)",536.0
536,"Beans of Egypt, Maine, The (1994)",537.0
537,Killer (Bulletproof Heart) (1994),538.0
538,Welcome to the Dollhouse (1995),539.0
539,Germinal (1993),540.0
540,Chasers (1994),541.0
541,Cronos (1993),542.0
542,Naked in New York (1994),543.0
543,Kika (1993),544.0
544,Bhaji on the Beach (1993),545.0
545,"Slingshot, The (Kådisbellan) (1993)",546.0
546,Foreign Student (1994),547.0
547,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",548.0
548,Spanking the Monkey (1994),549.0
549,"Little Rascals, The (1994)",550.0
550,Fausto (1993),551.0
551,Andre (1994),552.0
552,"Escort, The (Scorta, La) (1993)",553.0
553,Princess Caraboo (1994),554.0
554,"Celluloid Closet, The (1995)",555.0
555,Métisse (Café au Lait) (1993),556.0
556,Dear Diary (Caro Diario) (1994),557.0
557,I Don't Want to Talk About It (De eso no se habla) (1993),558.0
558,"Brady Bunch Movie, The (1995)",559.0
559,Home Alone (1990),560.0
560,Ghost (1990),561.0
561,Aladdin (1992),562.0
562,Terminator 2: Judgment Day (1991),563.0
563,Dances with Wolves (1990),564.0
564,Batman (1989),565.0
565,"Silence of the Lambs, The (1991)",566.0
566,Snow White and the Seven Dwarfs (1937),567.0
567,Beauty and the Beast (1991),568.0
568,Pinocchio (1940),569.0
569,Pretty Woman (1990),570.0
570,Window to Paris (Okno v Parizh) (1994),571.0
571,"Wild Bunch, The (1969)",572.0
572,Love and a .45 (1994),573.0
573,"Wooden Man's Bride, The (Yan shen) (1994)",574.0
574,"Great Day in Harlem, A (1994)",575.0
575,"Bye Bye, Love (1995)",576.0
576,Criminals (1996),577.0
577,One Fine Day (1996),578.0
578,Candyman: Farewell to the Flesh (1995),579.0
579,Century (1993),580.0
580,Fargo (1996),581.0
581,Homeward Bound II: Lost in San Francisco (1996),582.0
582,Heavy Metal (1981),583.0
583,Hellraiser: Bloodline (1996),584.0
584,"Pallbearer, The (1996)",585.0
585,Jane Eyre (1996),586.0
586,Loaded (1994),587.0
587,Bread and Chocolate (Pane e cioccolata) (1973),588.0
588,"Aristocats, The (1970)",589.0
589,"Flower of My Secret, The (La flor de mi secreto) (1995)",590.0
590,Two Much (1995),591.0
591,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),592.0
592,My Favorite Season (1993),593.0
593,"Modern Affair, A (1995)",594.0
594,Condition Red (Beyond the Law) (1995),595.0
595,Asfour Stah (1990),596.0
596,"Thin Line Between Love and Hate, A (1996)",597.0
597,"Last Supper, The (1995)",598.0
598,Primal Fear (1996),599.0
599,Rude (1995),600.0
600,Carried Away (1996),601.0
601,All Dogs Go to Heaven 2 (1996),602.0
602,Land and Freedom (Tierra y libertad) (1995),603.0
603,Denise Calls Up (1995),604.0
604,Theodore Rex (1995),605.0
605,"Family Thing, A (1996)",606.0
606,Frisk (1995),607.0
607,Sgt. Bilko (1996),608.0
608,Jack and Sarah (1995),609.0
609,Girl 6 (1996),610.0
610,Diabolique (1996),611.0
611,"Little Indian, Big City (Un indien dans la ville) (1994)",612.0
612,Roula (1995),613.0
613,Peanuts - Die Bank zahlt alles (1996),614.0
614,Happy Weekend (1996),615.0
615,Nelly & Monsieur Arnaud (1995),616.0
616,Courage Under Fire (1996),617.0
617,Mission: Impossible (1996),618.0
618,Cold Fever (Á köldum klaka) (1995),619.0
619,Moll Flanders (1996),620.0
620,"Superweib, Das (1996)",621.0
621,"301, 302 (301/302) (1995)",622.0
622,Dragonheart (1996),623.0
623,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),624.0
624,My Mother's Courage (Mutters Courage) (1995),625.0
625,Yankee Zulu (1994),626.0
626,Billy's Holiday (1995),627.0
627,Purple Noon (Plein soleil) (1960),628.0
628,August (1996),629.0
629,James and the Giant Peach (1996),630.0
630,Fear (1996),631.0
631,Kids in the Hall: Brain Candy (1996),632.0
632,Faithful (1996),633.0
633,Underground (1995),634.0
634,All Things Fair (Lust och fägring stor) (1995),635.0
635,Song of the Little Road (Pather Panchali) (1955),636.0
636,"World of Apu, The (Apur Sansar) (1959)",637.0
637,Mystery Science Theater 3000: The Movie (1996),638.0
638,Tarantella (1995),639.0
639,Space Jam (1996),640.0
640,Barbarella (1968),641.0
641,Hostile Intentions (1994),642.0
642,They Bite (1996),643.0
643,"Run of the Country, The (1995)",644.0
644,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",645.0
645,Coup de torchon (Clean Slate) (1981),646.0
646,Tigrero: A Film That Was Never Made (1994),647.0
647,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",648.0
648,Windows (1980),649.0
649,It's My Party (1996),650.0
650,Country Life (1994),651.0
651,Operation Dumbo Drop (1995),652.0
652,"Promise, The (Versprechen, Das) (1995)",653.0
653,Mrs. Winterbourne (1996),654.0
654,Solo (1996),655.0
655,Under the Domim Tree (Etz Hadomim Tafus) (1994),656.0
656,"Substitute, The (1996)",657.0
657,Butterfly Kiss (1995),658.0
658,Feeling Minnesota (1996),659.0
659,Delta of Venus (1995),660.0
660,To Cross the Rubicon (1991),661.0
661,Angus (1995),662.0
662,Daens (1992),663.0
663,Faces (1968),664.0
664,Boys (1996),665.0
665,"Quest, The (1996)",666.0
666,Cosi (1996),667.0
667,Mulholland Falls (1996),668.0
668,"Truth About Cats & Dogs, The (1996)",669.0
669,Oliver & Company (1988),670.0
670,Flipper (1996),671.0
671,Captives (1994),672.0
672,Of Love and Shadows (1994),673.0
673,Dead Man (1995),674.0
674,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",675.0
675,Switchblade Sisters (1975),676.0
676,Mouth to Mouth (Boca a boca) (1995),677.0
677,"Visitors, The (Visiteurs, Les) (1993)",678.0
678,Multiplicity (1996),679.0
679,Halfmoon (Paul Bowles - Halbmond) (1995),680.0
680,"Haunted World of Edward D. Wood Jr., The (1996)",681.0
681,"Craft, The (1996)",682.0
682,Last Dance (1996),683.0
683,War Stories (1995),684.0
684,"Institute Benjamenta, or This Dream People Call Human Life (1995)",685.0
685,Heaven's Prisoners (1996),686.0
686,Original Gangstas (1996),687.0
687,"Rock, The (1996)",688.0
688,Getting Away With Murder (1996),689.0
689,Cemetery Man (Dellamorte Dellamore) (1994),690.0
690,Twister (1996),691.0
691,Barb Wire (1996),692.0
692,"Garçu, Le (1995)",693.0
693,Honey Moon (Honigmond) (1996),694.0
694,Ghost in the Shell (Kôkaku kidôtai) (1995),695.0
695,Thinner (1996),696.0
696,Spy Hard (1996),697.0
697,Brothers in Trouble (1995),698.0
698,Force of Evil (1948),699.0
699,"Stupids, The (1996)",700.0
700,"Arrival, The (1996)",701.0
701,"Man from Down Under, The (1943)",702.0
702,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),703.0
703,Careful (1992),704.0
704,Vermont Is For Lovers (1992),705.0
705,"Month by the Lake, A (1995)",706.0
706,Gold Diggers: The Secret of Bear Mountain (1995),707.0
707,Kim (1950),708.0
708,Carmen Miranda: Bananas Is My Business (1994),709.0
709,Ashes of Time (Dung che sai duk) (1994),710.0
710,"Jar, The (Khomreh) (1992)",711.0
711,Maya Lin: A Strong Clear Vision (1994),712.0
712,Stalingrad (1993),713.0
713,"Phantom, The (1996)",714.0
714,Striptease (1996),715.0
715,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",716.0
716,Heavy (1995),717.0
717,Jack (1996),718.0
718,I Shot Andy Warhol (1996),719.0
719,"Grass Harp, The (1995)",720.0
720,Someone Else's America (1995),721.0
